jday_sn5,hour_sn5,minx_sn5,wsp_sn5,truewdir_sn5,Tsm_sn5,wu_cov_sn5,wv_cov_sn5,uv_cov_sn5,wT_cov_sn5,uT_cov_sn5,vT_cov_sn5,sigu_cov_sn5,sigv_cov_sn5,sigw_cov_sn5,sigT_cov_sn5
272,0,0,3.5138548,31.081083,23.045194,-0.082846809,-0.031359668,-0.07473547,0.0057547111,-0.0050199046,-0.0019878857,0.66663952,0.56418211,0.52578057,0.047357737
272,0,5,3.5655855,31.481021,23.017758,-0.062207817,0.038389516,-0.12195583,0.00097261391,-0.0019316981,0.002042633,0.70961513,0.41778046,0.33878301,0.03741038
272,0,10,3.695962,33.571217,23.000191,0.034065378,-0.014770969,-0.029554513,-0.001389421,0.0027304241,-0.0013034557,0.66850657,0.50607802,0.54113044,0.040378252
272,0,15,2.9402363,19.797498,22.990053,0.027208447,-0.084897976,-0.20785331,-0.0052911555,-0.00095287051,0.0076646961,0.46996145,0.751647,0.35556506,0.041944309
272,0,20,2.8488916,34.128599,22.977224,0.046725058,0.019946923,-0.00037538835,-0.0033463062,-0.0027407845,-0.0026295387,0.56871378,0.49092613,0.37270942,0.035310287
272,0,25,2.5376734,33.256713,22.930129,0.009642224,-0.0057914455,0.043354353,-0.0074945457,-0.0058544742,-0.0033463295,0.666377,0.45553296,0.4147712,0.04903035
272,0,30,2.1815225,27.584287,22.895975,-0.002167317,-0.036366016,-0.099464774,-0.0053679201,0.0047083256,-0.0087874765,0.45339763,0.48559788,0.3657686,0.059987151
272,0,35,1.538114,26.123695,22.863891,-0.017070946,-0.0056972458,-0.032289363,-0.0029084823,0.0053842784,-3.4750172e-05,0.35444348,0.39020037,0.22654331,0.065119379
272,0,40,1.4782867,11.771189,22.893427,-0.005207932,0.026805509,-0.00844949,-0.0036916867,-0.0037013232,0.0012598971,0.3830171,0.2996908,0.26902672,0.051457183
272,0,45,1.4444703,23.989254,22.900822,0.0082118197,0.0048764818,-0.0017927926,-0.0020123474,0.00088100137,-0.00064249599,0.23663992,0.16352729,0.17735252,0.039231494
272,0,50,1.5743787,19.020959,22.893622,-0.014199799,0.0087796507,-0.036721184,-0.0029552651,0.0024115378,0.003491429,0.38195161,0.39390563,0.24902393,0.045874704
272,0,55,1.6560896,15.484913,22.886088,0.008481544,0.0019571426,0.0013193878,-0.0013340198,0.0010972307,-0.0012556599,0.2341377,0.26296295,0.24764299,0.034323395
272,1,0,1.1805544,16.765482,22.820364,-0.031974991,-4.9642082e-05,0.032559637,-0.0042939785,0.014255382,0.0096095985,0.38050908,0.34242348,0.23826033,0.067230858
272,1,5,0.75038241,1.6008573,22.780156,-0.0010986254,0.0062271428,-0.012477414,4.6576898e-05,0.013381567,-0.0040532788,0.21815603,0.16367787,0.14500912,0.090987604
272,1,10,0.7814381,345.06517,22.708152,-0.00062240776,0.0052656871,-0.0095100326,-0.0033764182,0.0042950944,-0.013985241,0.16613557,0.2316893,0.13469904,0.12888391
272,1,15,0.68552636,343.24484,22.73423,0.0030409324,0.00054740624,-0.0013625128,0.0024336357,0.011288089,-0.013147167,0.1852787,0.32311705,0.13512505,0.14909282
272,1,20,0.48520486,339.5563,22.670368,-0.019494547,0.021328247,-0.037237009,-0.0049830527,0.011360921,-0.0054020555,0.28802647,0.34309343,0.18309193,0.066145993
272,1,25,0.43254696,325.31244,22.46212,-0.017215796,0.019189909,-0.025037586,-0.01029343,0.031021603,-0.067567698,0.26953425,0.33953026,0.21745555,0.33652767
272,1,30,0.3333856,291.76813,22.459436,-0.015503665,0.0030727072,0.010904761,-0.003935724,0.00045040899,-0.017440172,0.21470402,0.2377045,0.22267183,0.16044374
272,1,35,0.51412625,285.82738,22.354561,0.01453316,0.00082371196,-0.0036377089,-0.0078577281,-0.013488494,-0.0035167038,0.22520128,0.17791145,0.19199636,0.16242081
272,1,40,0.62820907,256.60977,22.528138,-0.0011261492,0.0039541025,-0.0089197983,-0.0031980818,-0.00047965285,-0.008055746,0.17571839,0.12738612,0.1391149,0.12446677
272,1,45,0.5358161,285.9235,22.419945,0.042817702,0.0067922947,0.0021499868,-0.012891276,-0.031128899,0.0033096746,0.37227922,0.19596017,0.24365405,0.21464602
272,1,50,0.6763586,287.89606,22.388882,0.0047072236,0.0023519377,-0.0028600424,0.0012137233,-0.0085775178,0.0065237987,0.19724292,0.20298743,0.13167864,0.13812351
272,1,55,1.7780928,286.71802,21.95926,0.02282429,0.0035906349,-0.011751768,-0.0085504951,-0.061212642,0.0086818692,0.3513109,0.17790941,0.17429089,0.21039767
272,2,0,2.0617786,287.14604,21.914763,0.019256949,0.0063191268,-0.024589765,-0.017012037,-0.053549674,0.011393617,0.30432974,0.24197296,0.1778798,0.24482154
272,2,5,2.4940433,283.84688,21.736816,0.0088429295,0.011510764,0.0011624253,-0.0035452913,-0.0095722399,-0.0016927442,0.19705996,0.16690148,0.17817396,0.17217817
272,2,10,2.4434658,288.57291,21.718752,-0.0071999431,0.00047360138,-0.0047984784,-0.0054174182,-0.0044978575,0.0037928533,0.22119293,0.14217312,0.15554071,0.11716598
272,2,15,2.3611599,286.52239,21.902341,0.0037893442,-0.00075038445,0.009203194,-0.0036873883,-0.0087625867,0.0027653264,0.18888496,0.18595548,0.13793598,0.12845524
272,2,20,2.5665255,289.09819,21.666605,-0.00031571926,0.0026718336,-0.0044062531,-0.00092422058,-0.013995026,0.0039909569,0.17486898,0.12064491,0.099667224,0.14976131
272,2,25,2.7725737,289.0359,21.534606,-0.00058235786,0.0035476505,0.0015678392,-0.0033723972,-0.015701392,-0.0087291377,0.17843255,0.19181644,0.11687036,0.17824431
272,2,30,2.812192,285.68507,21.577447,-0.0032377543,0.0053743936,-0.0039897402,-0.0067752688,-0.0017029366,-0.0092615876,0.18570031,0.18053353,0.16352411,0.15464722
272,2,35,2.3527542,281.88807,21.677511,-0.0022811981,0.0046415208,-0.0027270119,-0.0041055609,-0.0043022757,0.0010250986,0.16394562,0.13826421,0.13700224,0.10913379
272,2,40,2.4316796,285.3377,21.666933,-0.0023549163,0.005395417,-0.0050473399,-0.0036916253,-0.0025274965,-0.0055691657,0.16608313,0.14688274,0.12342025,0.13785891
272,2,45,2.3827191,284.91977,21.785247,-0.00030906462,0.0021641972,0.0016192965,-0.0028117546,-0.013114228,-0.0057835339,0.17884429,0.12795056,0.11381662,0.15653216
272,2,50,2.1716959,284.65988,21.6993,-0.0012732228,0.0034393173,-0.0017575364,-0.0034220474,-0.0017561208,-0.0010067383,0.13544285,0.15113067,0.12443705,0.12057357
272,2,55,2.2332973,284.85076,21.90099,0.0057020296,0.0059168193,-0.0036085367,-0.0025662197,-0.0060418728,0.0025557708,0.16430583,0.16875262,0.13738331,0.12293196
272,3,0,2.151579,285.48552,21.795965,-0.00059649748,0.0051909849,-0.0054803092,-0.0028190259,-0.0031270436,0.0024645828,0.14763778,0.13453825,0.13515501,0.09587465
272,3,5,2.0755965,287.69793,21.765931,-0.0062061557,0.0063590202,-0.0036919371,-0.0015211437,-0.008205023,0.002304182,0.17704376,0.15542941,0.12662941,0.13535335
272,3,10,2.082642,285.01714,21.872593,-0.0025993569,0.0047044031,-0.0021003204,-0.0017009701,-0.0026642744,0.0018903215,0.1392767,0.14033711,0.1218799,0.089016788
272,3,15,2.2705972,283.66898,21.704486,-0.0022389922,0.008432338,-0.0029417614,-0.0071771784,-0.0031101385,-0.001664427,0.17196316,0.15049818,0.14992883,0.14234618
272,3,20,2.2230069,286.29009,21.70894,-0.006908842,0.011732763,-0.010542923,-0.0016852681,0.00087950456,-0.00081506996,0.17104386,0.2070987,0.16757333,0.10751797
272,3,25,2.3038732,285.20788,21.624863,-0.0012623808,0.0058178593,-0.0012272597,-0.0043462238,-0.011551731,0.0049236998,0.23801621,0.1784482,0.14869529,0.16220713
272,3,30,2.434115,286.22464,21.500769,-0.0058533631,0.006646201,-0.0069517446,-0.0062008835,-0.0030569329,-6.3156842e-05,0.1868114,0.16519089,0.1481349,0.15915946
272,3,35,2.444047,283.20764,21.496598,-0.0038353217,0.0085412774,-0.0082403129,-0.0052123468,-0.0097216694,3.5493932e-05,0.19270872,0.1858345,0.1563952,0.15494734
272,3,40,2.5282387,284.33354,21.526533,-0.0048998802,0.002144156,-0.002898183,-0.0050339105,-0.0069177938,-0.00016886609,0.19616773,0.15457833,0.13083978,0.15031016
272,3,45,2.4612334,286.60854,21.550852,0.0041755691,0.0010941583,-0.00094968999,-0.0027867181,-0.0115007,-0.0051906226,0.17586684,0.15408009,0.13476256,0.17070385
272,3,50,2.5163046,286.45627,21.534285,0.0062543669,0.0036130733,0.0032459172,-0.0061625304,-0.0093687733,-0.0052887146,0.20508925,0.14040808,0.13224375,0.19004759
272,3,55,2.6148929,289.22008,21.45817,0.0050998735,0.00045648683,-0.002067026,-0.0043065744,0.0005403413,0.0017203054,0.17755807,0.15166666,0.11622059,0.16013403
272,4,0,2.4775492,287.44381,21.525219,0.0024414051,0.0028023232,-0.005788027,-0.0021571763,-0.0028682731,-0.0093646713,0.14087028,0.15923986,0.12156196,0.15500856
272,4,5,2.5138959,287.57056,21.298429,-0.0034099706,0.0076079879,-0.00036220338,-0.0010112846,-0.014998303,1.7763172e-05,0.20741783,0.15570027,0.15384965,0.17762642
272,4,10,2.9443633,289.01128,21.22007,0.00097489937,0.0019952658,-0.0010071088,0.0005185479,-0.014120182,-0.012443615,0.20290325,0.19447532,0.14419522,0.18185271
272,4,15,3.0209983,288.73903,21.164077,-0.0020074517,0.0041748556,0.0064948467,-1.4246154e-05,-0.011823036,-0.026533743,0.18189241,0.21605,0.15005467,0.22834333
272,4,20,2.9150515,286.02574,21.111967,-0.0024183746,0.010895944,-0.00016079922,-0.0017010457,-0.0046827476,-0.0067251799,0.19185679,0.21276432,0.14531671,0.14879212
272,4,25,2.484929,284.26977,21.089112,-0.014108786,0.012481088,0.0084782894,0.0035444645,-0.0048935513,-0.0083457726,0.32912114,0.24338313,0.21879966,0.158027
272,4,30,0.84704837,12.933693,20.34127,-0.047000886,0.14780031,-0.23484673,-0.019045561,-0.049597377,0.0018942148,0.53725692,0.7969365,0.35089575,0.3943678
272,4,35,0.70919391,30.328776,20.161967,0.020469546,-0.0030714352,-0.041594235,0.0081032039,0.042665666,-0.03119101,0.31841458,0.30110907,0.21058321,0.21178388
272,4,40,0.29353945,215.10454,20.143215,0.050201619,-0.0657742,-0.020060308,-0.041318421,-0.0088391867,0.055142917,0.35102038,0.41072518,0.3162909,0.32531114
272,4,45,0.55902992,288.85372,20.1238,0.010875001,0.0073059847,-0.024142358,0.00025993517,0.0068007047,-0.0050617481,0.28328078,0.2615625,0.14406291,0.10711905
272,4,50,0.28553518,213.53016,20.182673,-0.0031931955,0.0049410038,-0.0079437147,0.0018603352,-0.0017470073,0.0017715593,0.13007616,0.12665989,0.10762676,0.078100353
272,4,55,0.15869295,355.91685,20.21237,-0.0017172886,0.00096077379,-0.0098847264,-0.00060549785,0.002795754,0.0018023625,0.21212747,0.28940115,0.13252187,0.13981556
272,5,0,1.1258286,312.25617,20.067146,-0.0029944202,0.019988538,0.0081224449,-0.0080821624,-0.0050592761,-0.028899776,0.26357491,0.31653667,0.19133328,0.1321857
272,5,5,2.0823654,286.89615,20.020953,-0.003757143,0.025441947,0.020793032,-0.0030638245,-0.015538545,-0.021228691,0.31734679,0.44159078,0.24309076,0.18411372
272,5,10,2.5731645,279.39575,20.141551,0.013180892,0.043228745,0.0035001293,-0.0043518007,0.00096001033,-0.022158624,0.33872483,0.43439081,0.27284982,0.17353306
272,5,15,2.9784732,279.45047,19.996548,0.0012068797,0.026422996,-0.016161159,0.0034266626,-0.027645202,0.021548988,0.37664308,0.32751201,0.19923002,0.17108695
