jday_sn4,hour_sn4,minx_sn4,wsp_sn4,truewdir_sn4,Tsm_sn4,wu_cov_sn4,wv_cov_sn4,uv_cov_sn4,wT_cov_sn4,uT_cov_sn4,vT_cov_sn4,sigu_cov_sn4,sigv_cov_sn4,sigw_cov_sn4,sigT_cov_sn4
272,0,0,3.1521839,33.959755,23.088808,-0.080637885,0.0090828748,-0.056830913,0.015468452,-0.01275853,0.0067214793,0.74089526,0.54556812,0.45786888,0.066253673
272,0,5,3.1176062,34.214249,22.999906,-0.087669362,0.039882404,-0.12722597,0.0015591585,-0.0083171525,0.0038546923,0.85988155,0.45063501,0.31811244,0.046736316
272,0,10,3.3653888,36.501818,22.976457,0.0025587114,-0.0080609005,0.010017659,-0.0006937557,0.0050256705,0.0018810169,0.68049473,0.51452653,0.38531625,0.049549275
272,0,15,2.4956885,22.854361,22.966712,-0.025643898,-0.031526089,-0.21903075,-0.0016194613,-0.010622585,0.027324631,0.56335191,0.67697242,0.3004747,0.067724164
272,0,20,2.5543854,36.358957,22.937593,-0.012387383,0.014416294,-0.022104436,-0.0049425793,-0.0012162753,-0.0021224995,0.59662182,0.4375444,0.30419607,0.054849293
272,0,25,2.0979546,35.841681,22.869518,-0.028115953,-0.0024918411,0.054376174,-0.0063183741,0.013731818,0.0050732015,0.68904935,0.44756257,0.3307023,0.078252242
272,0,30,2.0157789,33.333886,22.848431,-0.026048751,-0.0090527721,-0.02123086,-0.0087950001,0.0081309035,-0.0051316802,0.35587741,0.41011238,0.31937346,0.076891509
272,0,35,1.2856845,27.579318,22.752395,-0.019553979,-0.015488985,-0.01971986,-0.0045647311,0.007519105,0.0046906451,0.32500026,0.35762912,0.22609678,0.10666107
272,0,40,1.3581609,12.628998,22.835238,-0.0081281562,0.0034591671,0.016540518,-0.0048243513,0.013649682,0.0053832919,0.38202966,0.31484486,0.22231233,0.09083679
272,0,45,1.2589094,24.436628,22.797152,-0.0057893168,0.0059963735,-0.0035376239,-0.0055954167,0.00846515,-0.0047283744,0.21082758,0.22188126,0.16644798,0.10193994
272,0,50,1.3104677,16.154621,22.824718,-0.0044801666,-0.010595532,-0.00026715986,-0.0045853081,0.0098308455,0.012122739,0.34384341,0.40018683,0.18049983,0.10404074
272,0,55,1.5344649,15.483554,22.846716,0.00080705442,-0.0033876395,0.0012095739,-0.0025900892,-0.0013301982,-0.00050487391,0.17965513,0.24816417,0.16979287,0.069540913
272,1,0,0.93945348,15.36651,22.783946,-0.026918541,0.0076555442,-0.018798292,-0.004644431,0.020729169,-0.004454582,0.36658369,0.22279179,0.18370523,0.1141226
