    Time  Press    Temp     Rh    Alt  Speed    Dir   Batt  P.Temp  Dew   S.H.   M.R.     Et    Ozone O3Curr O3Temp   AD1    AD2    AD3    AD4    AD5    AD6
            hPa      °C     %      m    mps    deg      v     °C     °C          g/kg      s      ppb     µA     °C     v      v      v      v      v      v 
--------------------------------------------------------------------------------------------------------------------------------------------------------------
01:30:47 869.94   18.5   25.5   1311    1.7    157    8.7    30.3  -1.6   0.79   3.85    5.0     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:30:48 870.01   18.4   25.6   1311    1.7    156    8.7    30.3  -1.6   0.79   3.85    6.0     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:30:49 869.83   18.5   25.6   1312    1.8    158    8.7    30.3  -1.5   0.79   3.87    7.0     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:30:50 870.06   18.5   25.7   1310    1.8    157    8.7    30.3  -1.5   0.80   3.89    8.0     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:30:53 869.74   18.4   25.8   1313    1.9    158    8.7    30.2  -1.5   0.79   3.87   11.0     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:30:54 869.93   18.4   25.8   1311    1.8    159    8.7    30.3  -1.5   0.80   3.88   12.0     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:30:55 869.93   18.5   25.8   1311    1.7    158    8.7    30.4  -1.4   0.80   3.91   13.0     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:30:56 869.72   18.4   25.8   1313    1.6    164    8.7    30.2  -1.6   0.79   3.86   14.0     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:30:57 870.08   18.4   25.9   1310    1.6    169    8.7    30.2  -1.5   0.80   3.89   15.0     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:00 870.00   18.5   26.3   1311    1.4    166    8.7    30.3  -1.2   0.80   3.98   18.0     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:01 869.79   18.7   26.6   1313    1.4    161    8.7    30.6  -0.9   0.80   4.10   19.0     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:02 870.01   18.6   26.3   1311    1.4    159    8.7    30.5  -1.1   0.80   4.02   20.0     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:03 869.89   18.5   26.4   1312    1.4    170    8.7    30.3  -1.1   0.80   4.01   21.0     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:04 869.98   18.3   26.1   1311    1.4    179    8.7    30.2  -1.4   0.80   3.90   22.0     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:05 869.83   18.7   26.2   1312    1.6    180    8.7    30.5  -1.1   0.80   4.02   23.0     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:06 869.96   18.8   26.8   1311    1.7    175    8.6    30.7  -0.7   0.81   4.16   24.0     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:07 870.03   18.8   26.9   1310    1.7    180    8.7    30.7  -0.6   0.81   4.19   25.0     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:09 869.84   18.7   26.4   1312    1.7    178    8.6    30.6  -0.9   0.80   4.08   27.0     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:11 869.94   18.5   25.4   1311    1.7    182    8.6    30.3  -1.7   0.79   3.83   29.0     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:12 869.92   18.8   26.5   1311    1.7    179    8.6    30.6  -0.8   0.80   4.11   30.0     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:13 869.91   18.6   25.9   1312    1.7    179    8.6    30.4  -1.3   0.80   3.94   31.0     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:14 869.89   18.7   26.0   1312    1.7    184    8.6    30.6  -1.1   0.80   4.00   32.0     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:15 869.78   18.5   25.3   1313    1.7    185    8.6    30.4  -1.7   0.79   3.83   33.0     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:16 869.76   18.6   25.7   1313    1.7    187    8.6    30.5  -1.4   0.80   3.93   34.0     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:17 869.96   18.5   25.6   1311    1.7    186    8.6    30.3  -1.5   0.79   3.87   34.9     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:18 870.00   18.6   25.3   1311    1.6    187    8.6    30.4  -1.6   0.79   3.85   36.0     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:19 869.81   18.7   25.7   1313    1.6    184    8.6    30.5  -1.4   0.80   3.92   37.0     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:20 869.81   18.5   25.8   1313    1.7    184    8.6    30.4  -1.4   0.80   3.91   38.0     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:23 869.82   18.4   25.1   1312    1.6    190    8.6    30.2  -1.9   0.79   3.74   40.9     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:25 869.74   18.6   25.7   1313    1.5    197    8.6    30.5  -1.4   0.80   3.92   42.9     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:28 869.93   18.9   26.8   1311    1.2    178    8.6    30.8  -0.6   0.81   4.19   45.9     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:29 869.80   18.5   25.2   1313    1.2    173    8.6    30.4  -1.7   0.79   3.80   46.9     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:30 869.65   18.2   25.1   1314    1.1    173    8.6    30.1  -2.0   0.79   3.72   47.9     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:31 870.03   18.2   25.4   1310    1.1    171    8.6    30.0  -1.9   0.79   3.76   48.9     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:32 869.75   18.3   25.6   1313    1.1    191    8.6    30.2  -1.7   0.79   3.81   49.9     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.027
01:31:37 870.01   18.1   25.7   1311    0.0    283    8.6    29.9  -1.8   0.79   3.78   55.5     0.00   0.00    0.0  0.000  0.090  0.016  0.000  0.000  0.027
01:31:38 869.68   18.4   26.0   1314   38.5    175    8.6    30.3  -1.4   0.80   3.91   56.5     0.00   0.00    0.0  0.000  0.090  0.016  0.000  0.000  0.027
01:31:40 870.02   18.5   25.6   1311    1.3    185    8.6    30.3  -1.6   0.79   3.86   57.5     0.00   0.00    0.0  0.000  0.090  0.016  0.000  0.000  0.027
01:31:40 869.85   18.6   25.6   1312    1.2    183    8.6    30.4  -1.5   0.80   3.89   58.5     0.00   0.00    0.0  0.000  0.090  0.016  0.000  0.000  0.027
01:31:41 870.01   18.4   25.6   1311    1.2    185    8.6    30.2  -1.6   0.79   3.84   59.5     0.00   0.00    0.0  0.000  0.090  0.016  0.000  0.000  0.027
01:31:43 869.96   18.6   25.8   1311    1.2    193    8.6    30.5  -1.3   0.80   3.93   61.5     0.00   0.00    0.0  0.000  0.089  0.016  0.000  0.000  0.027
01:31:45 869.83   18.6   25.8   1312    1.2    195    8.6    30.5  -1.3   0.80   3.93   63.5     0.00   0.00    0.0  0.000  0.089  0.016  0.000  0.000  0.027
01:31:46 869.78   18.6   25.5   1313    1.1    194    8.6    30.5  -1.5   0.80   3.88   64.5     0.00   0.00    0.0  0.000  0.089  0.016  0.000  0.000  0.027
01:31:47 869.94   18.5   25.2   1311    1.2    193    8.6    30.4  -1.7   0.79   3.82   65.5     0.00   0.00    0.0  0.000  0.089  0.016  0.000  0.000  0.027
01:31:49 869.79   18.4   25.8   1313    1.7    196    8.6    30.3  -1.5   0.80   3.89   67.5     0.00   0.00    0.0  0.000  0.089  0.016  0.000  0.000  0.027
01:31:50 869.96   18.4   25.1   1311    1.9    198    8.6    30.2  -1.9   0.79   3.75   68.5     0.00   0.00    0.0  0.000  0.089  0.016  0.000  0.000  0.026
01:31:51 869.79   18.4   25.1   1313    2.0    195    8.6    30.3  -1.9   0.79   3.76   69.5     0.00   0.00    0.0  0.000  0.089  0.016  0.000  0.000  0.026
01:31:52 869.99   18.5   25.2   1311    2.1    192    8.6    30.3  -1.7   0.79   3.80   70.5     0.00   0.00    0.0  0.000  0.089  0.016  0.000  0.000  0.026
01:31:53 869.65   18.5   25.3   1314    2.1    193    8.6    30.3  -1.7   0.79   3.81   71.5     0.00   0.00    0.0  0.000  0.089  0.016  0.000  0.000  0.026
01:31:54 869.84   18.5   25.5   1312    2.1    191    8.6    30.3  -1.6   0.79   3.84   72.5     0.00   0.00    0.0  0.000  0.089  0.016  0.000  0.000  0.026
01:31:56 869.73   18.5   25.8   1313    2.0    187    8.6    30.3  -1.5   0.80   3.90   74.5     0.00   0.00    0.0  0.000  0.088  0.016  0.000  0.000  0.026
