        Time       Press        Temp          Rh         Alt       Speed         Dir        Batt       PTemp         Dew          SH          MR          Et       Ozone      O3Curr      O3Temp         AD1         AD2         AD3         AD4         AD5         AD6
2025-11-04 00:25:01      871.00       19.10       26.60     1312.00       38.50      320.00        7.80       30.90       -0.50        0.81        4.22     3484.70        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.00        0.01
2025-11-04 00:25:05      870.84       18.30       25.90     1314.00        3.60      347.00        7.60       30.00       -1.60        0.79        3.85     3488.70        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.00        0.01
2025-11-04 00:25:07      870.69       18.40       26.40     1315.00        3.20      339.00        7.60       30.10       -1.20        0.80        3.97     3490.70        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.00        0.01
2025-11-04 00:25:09      870.78       18.40       26.40     1314.00        3.50      336.00        7.60       30.20       -1.10        0.80        4.00     3492.70        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.00        0.01
2025-11-04 00:25:10      870.89       18.50       26.70     1313.00        3.70      334.00        7.60       30.30       -0.90        0.80        4.06     3493.70        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.00        0.01
2025-11-04 00:25:12      870.57       18.70       26.90     1316.00        3.60      354.00        7.60       30.50       -0.70        0.81        4.14     3495.70        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.00        0.01
2025-11-04 00:25:13      870.76       18.50       26.60     1314.00        3.70        3.00        7.60       30.20       -1.00        0.80        4.04     3496.70        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.00        0.01
2025-11-04 00:25:14      870.72       18.50       26.80     1315.00        3.70        1.00        7.60       30.20       -1.00        0.80        4.06     3497.70        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.00        0.01
2025-11-04 00:25:15      870.83       18.60       26.90     1314.00        3.50      356.00        7.60       30.30       -0.80        0.80        4.11     3498.70        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.00        0.01
2025-11-04 00:25:16      870.81       18.60       26.80     1314.00        3.50      337.00        7.60       30.40       -0.80        0.80        4.11     3499.70        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.00        0.01
2025-11-04 00:25:17      870.87       18.60       26.80     1313.00        3.50      330.00        7.60       30.30       -0.80        0.80        4.10     3500.70        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.00        0.01
2025-11-04 00:25:19      870.65       18.70       27.00     1315.00        3.40      334.00        7.60       30.50       -0.70        0.81        4.15     3502.70        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.00        0.01
2025-11-04 00:25:20      870.60       18.60       27.10     1316.00        3.30      337.00        7.60       30.30       -0.70        0.81        4.14     3503.70        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.00        0.01
2025-11-04 00:25:21      870.39       18.70       27.10     1318.00        3.20      341.00        7.60       30.50       -0.60        0.81        4.18     3504.70        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.00        0.01
2025-11-04 00:25:23      870.47       18.40       26.90     1317.00        3.50      357.00        7.60       30.20       -1.00        0.80        4.05     3506.70        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.00        0.01
2025-11-04 00:25:24      870.48       18.60       27.20     1317.00        3.80      344.00        7.60       30.40       -0.60        0.81        4.17     3507.70        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.00        0.01
2025-11-04 00:25:25      870.46       18.40       26.90     1317.00        3.80      341.00        7.60       30.20       -1.00        0.80        4.05     3508.70        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.00        0.01
2025-11-04 00:25:26      870.38       18.50       27.10     1318.00        3.90      344.00        7.60       30.30       -0.70        0.81        4.14     3509.70        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.00        0.01
2025-11-04 00:25:27      870.39       18.30       26.90     1318.00        3.90      338.00        7.60       30.10       -1.00        0.80        4.04     3510.70        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.00        0.01
2025-11-04 00:25:28      870.52       18.20       26.80     1317.00        3.90      349.00        7.60       30.00       -1.10        0.80        4.00     3511.70        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.00        0.01
2025-11-04 00:25:30      870.16       18.60       27.40     1320.00        4.00      350.00        7.60       30.40       -0.50        0.81        4.22     3513.70        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.00        0.01
