         Alt       Press        Temp          Rh       Speed        Batt       PTemp         Dew          SH          MR          Et       Ozone      O3Curr      O3Temp         AD1         AD2         AD3         AD4         AD5         AD6    Dir_mode
        1308      871.42       19.30       27.50        2.60        8.50       31.00        0.10        0.82        4.43       80.90        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01      329.00
        1309      871.33       18.60       29.01        2.65        8.43       30.32        0.27        0.82        4.48      220.49        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      355.61
        1310      871.24       18.98       28.82        2.57        8.44       30.71        0.49        0.82        4.55      202.93        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      351.12
        1311      871.15       18.85       28.68        2.69        8.45       30.58        0.31        0.82        4.49      196.61        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      347.55
        1312      871.05       18.98       28.44        2.63        8.44       30.73        0.30        0.82        4.49      192.53        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      355.65
        1313      870.94       18.83       28.18        2.94        8.44       30.58        0.04        0.81        4.40      192.58        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      353.25
        1314      870.85       18.69       28.20        3.23        8.45       30.46       -0.06        0.81        4.37      193.61        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      339.97
        1315      870.75       17.98       28.94        3.02        8.42       29.70       -0.32        0.81        4.28      302.50        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      308.36
        1316      870.65       17.90       29.30        3.05        8.40       29.62       -0.20        0.81        4.32      388.60        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      326.75
        1317      870.53       18.27       29.45        3.38        8.38       30.03        0.17        0.82        4.45      392.35        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      334.47
        1318      870.43       18.50       29.85        3.70        8.35       30.30        0.65        0.82        4.60      396.10        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      340.00
        1319      870.32       18.60       29.60        3.20        8.30       30.40        0.50        0.82        4.57      398.60        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      339.00
        1321      870.12       17.95       29.20        4.30        8.30       29.80       -0.20        0.81        4.33      403.60        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      344.00
        1322      870.02       17.60       29.15        4.92        8.30       29.40       -0.55        0.81        4.20      407.85        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      331.00
        1323      869.93       17.46       29.20        4.74        8.30       29.26       -0.64        0.81        4.17      412.00        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      321.33
        1324      869.84       17.40       29.20        5.00        8.30       29.20       -0.65        0.81        4.17      414.10        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      322.50
        1325      869.75       17.43       29.47        4.43        8.30       29.23       -0.53        0.81        4.21      419.27        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      307.02
        1326      869.63       17.46       29.71        4.29        8.30       29.29       -0.39        0.81        4.26      426.03        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      329.05
        1327      869.49       17.40       29.75        4.20        8.30       29.30       -0.40        0.81        4.26      428.10        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      314.50
        1328      869.43       17.45       29.75        4.05        8.30       29.30       -0.35        0.81        4.27      424.60        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      302.00
        1329      869.35       17.45       29.95        4.20        8.30       29.30       -0.30        0.81        4.29      429.10        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      310.00
        1330      869.22       17.55       29.90        4.25        8.30       29.45       -0.25        0.81        4.32      439.60        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      338.00
        1331      869.11       17.55       29.95        4.10        8.30       29.40       -0.25        0.81        4.32      439.10        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      342.00
        1332      869.02       17.57       29.67        4.07        8.30       29.47       -0.33        0.81        4.29      443.27        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      335.00
        1333      868.88       17.55       29.65        4.05        8.30       29.45       -0.35        0.81        4.29      443.10        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      342.00
        1334      868.80       17.63       29.40        4.03        8.30       29.60       -0.40        0.81        4.26      448.27        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      337.67
        1335      868.69       17.50       29.60        3.85        8.30       29.45       -0.40        0.81        4.26      461.10        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      324.00
        1336      868.59       17.50       29.45        3.65        8.30       29.40       -0.50        0.81        4.22      458.10        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      324.50
        1337      868.50       17.54       29.54        3.86        8.30       29.50       -0.40        0.81        4.26      460.18        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      333.07
        1338      868.38       17.50       29.73        4.07        8.30       29.47       -0.33        0.81        4.28      466.20        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      328.71
        1339      868.32       17.55       29.85        4.25        8.30       29.50       -0.30        0.81        4.30      468.00        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      338.50
        1340      868.19       17.45       29.95        4.65        8.30       29.35       -0.32        0.81        4.29      476.75        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      333.33
        1341      868.12       17.50       29.90        5.20        8.30       29.40       -0.30        0.81        4.29      474.50        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      328.00
        1342      867.98       17.30       30.17        4.40        8.30       29.23       -0.37        0.81        4.28      487.50        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      321.67
        1343      867.87       17.30       30.30        4.10        8.30       29.30       -0.30        0.81        4.30      489.50        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      316.00
        1344      867.80       17.30       30.13        4.43        8.30       29.33       -0.33        0.81        4.28      486.17        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      323.67
        1345      867.66       17.30       30.45        4.75        8.30       29.30       -0.25        0.81        4.33      493.50        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      316.50
        1346      867.57       17.32       30.46        5.04        8.30       29.34       -0.20        0.81        4.34      497.70        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      316.99
        1347      867.45       17.45       30.70        5.15        8.30       29.45        0.00        0.81        4.42      503.00        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      320.00
        1348      867.39       17.30       30.55        5.50        8.30       29.30       -0.20        0.81        4.34      501.50        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      325.00
