        Time       Press        Temp          Rh         Alt       Speed         Dir        Batt       PTemp         Dew          SH          MR          Et       Ozone      O3Curr      O3Temp         AD1         AD2         AD3         AD4         AD5         AD6
2025-11-04 23:26:57      871.08       20.60       26.40     1312.00        2.70      335.00        8.60       32.40        0.70        0.82        4.63        1.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:26:59      871.03       21.30       26.40     1312.00        2.10      352.00        8.60       33.10        1.20        0.83        4.81        3.00        0.00        0.00        0.00        0.00        0.00        0.02        0.01        0.00        0.01
2025-11-04 23:27:00      871.13       21.50       26.40     1311.00        1.70      353.00        8.60       33.30        1.40        0.83        4.88        4.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:01      871.02       21.60       26.40     1312.00        1.60      357.00        8.50       33.50        1.60        0.83        4.93        5.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:06      870.97       21.00       25.50     1313.00        2.90      357.00        8.50       32.80        0.60        0.82        4.58       10.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:07      871.30       19.40       25.70     1310.00        3.10      359.00        8.50       31.10       -0.80        0.80        4.12       11.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:08      870.97       19.40       25.80     1313.00        3.20      354.00        8.50       31.20       -0.60        0.81        4.16       12.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:09      870.99       18.80       25.40     1313.00        3.20      353.00        8.50       30.60       -1.30        0.80        3.93       13.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:10      871.22       18.80       25.80     1310.00        2.90      350.00        8.50       30.50       -1.20        0.80        3.97       14.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:11      871.02       18.60       25.50     1312.00        2.80      333.00        8.50       30.40       -1.50        0.80        3.89       15.00        0.00        0.00        0.00        0.00        0.00        0.02        0.01        0.00        0.01
2025-11-04 23:27:13      870.96       18.90       26.10     1313.00        3.50      345.00        8.50       30.70       -0.90        0.80        4.08       17.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:16      871.06       19.70       26.50     1312.00        3.30      356.00        8.50       31.50        0.00        0.81        4.40       20.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:17      871.05       18.90       26.10     1312.00        3.80      348.00        8.50       30.60       -1.00        0.80        4.06       21.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:18      870.90       18.40       25.90     1313.00        4.80      325.00        8.50       30.10       -1.40        0.80        3.90       22.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:19      870.94       19.40       26.70     1313.00        4.60      348.00        8.50       31.20       -0.20        0.81        4.33       23.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:21      871.10       20.40       26.80     1311.00        3.50      343.00        8.50       32.20        0.70        0.82        4.64       25.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:23      870.94       19.40       26.30     1313.00        4.40        3.00        8.50       31.20       -0.40        0.81        4.25       27.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:25      871.02       19.00       26.20     1312.00        5.90      345.00        8.50       30.70       -0.80        0.80        4.11       29.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:26      871.05       18.90       26.30     1312.00        5.10       16.00        8.50       30.60       -0.80        0.80        4.10       30.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:27      870.92       19.60       26.90     1313.00        4.70      355.00        8.50       31.40        0.10        0.82        4.43       31.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:28      870.97       18.40       26.00     1313.00        4.90      360.00        8.50       30.10       -1.40        0.80        3.91       32.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:29      870.88       18.50       26.60     1314.00        5.70      356.00        8.50       30.30       -1.00        0.80        4.04       33.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:30      870.94       19.30       27.10     1313.00        5.10      351.00        8.50       31.10       -0.10        0.81        4.37       34.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:31      870.87       18.10       26.30     1314.00        4.70      340.00        8.50       29.90       -1.50        0.80        3.88       35.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:33      871.03       19.00       27.00     1312.00        4.20      340.00        8.50       30.70       -0.40        0.81        4.25       37.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:34      870.82       19.80       27.30     1314.00        3.90      347.00        8.50       31.60        0.40        0.82        4.53       38.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:35      870.80       18.40       26.50     1314.00        4.90      347.00        8.50       30.10       -1.20        0.80        3.99       39.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:36      870.87       19.50       27.30     1314.00        5.70      336.00        8.50       31.30        0.20        0.82        4.47       40.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:37      871.02       18.70       26.90     1312.00        5.10      354.00        8.50       30.40       -0.70        0.81        4.15       41.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:38      871.21       19.80       27.30     1310.00        5.00      354.00        8.50       31.60        0.50        0.82        4.55       42.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:39      871.06       20.20       27.30     1312.00        4.30      355.00        8.50       32.00        0.80        0.82        4.66       43.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:41      871.09       20.40       27.20     1312.00        3.30      345.00        8.50       32.20        0.90        0.82        4.71       45.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:43      870.94       19.60       26.80     1313.00        3.30      342.00        8.50       31.40        0.00        0.81        4.40       47.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:44      871.14       18.70       26.10     1311.00        3.80      333.00        8.50       30.50       -1.10        0.80        4.02       48.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:46      870.99       19.10       26.50     1313.00        4.30      333.00        8.50       30.90       -0.50        0.81        4.21       50.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:47      871.11       19.70       26.50     1311.00        3.60      329.00        8.50       31.50        0.00        0.81        4.40       51.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:48      870.83       19.80       26.70     1314.00        3.80      350.00        8.50       31.60        0.10        0.82        4.44       52.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:49      870.85       19.60       26.80     1314.00        3.90      353.00        8.50       31.40        0.00        0.81        4.40       53.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:50      871.04       19.00       26.40     1312.00        4.50      355.00        8.50       30.70       -0.70        0.81        4.14       54.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
2025-11-04 23:27:51      870.94       19.10       26.60     1313.00        4.70      358.00        8.50       30.80       -0.50        0.81        4.20       55.00        0.00        0.00        0.00        0.00        0.00        0.02        0.00        0.00        0.01
