    Alt_mean        Temp          Rh       Speed       PTemp         Dir          MR
        3.50       19.27       27.01        1.84       31.11      341.11        4.34
        8.50       18.76       26.27        0.98       30.59      292.90        4.06
       13.50       18.30       26.44        1.46       30.18      273.37        3.97
       18.50       18.12       27.06        1.36       30.08      315.56        4.02
       23.50       18.20       28.09        1.56       30.16      277.09        4.21
       28.50       18.37       28.76        1.71       30.41      318.55        4.39
       33.50       18.21       28.50        2.38       30.27      318.41        4.29
       38.50       18.00       28.70        2.46       30.12      287.98        4.27
       43.50       17.82       28.80        2.45       30.02      302.15        4.24
       48.50       17.65       28.73        2.73       29.87      262.38        4.17
       53.50       17.58       29.15        2.88       29.80      258.17        4.22
       58.50       17.57       29.48        3.30       29.86      279.95        4.27
       63.50       17.44       29.34        3.03       29.80      278.14        4.22
       68.50       17.43       28.98        3.15       29.85      266.18        4.16
       73.50       17.40       29.25        2.90       29.88      265.13        4.20
       78.50       17.32       29.13        3.17       29.82      320.18        4.15
       83.50       17.29       28.77        3.49       29.85      279.76        4.09
       88.50       17.17       29.06        3.81       29.77      241.22        4.10
       93.50       17.11       29.42        3.99       29.77      247.96        4.15
       98.50       17.18       29.14        3.76       29.88      297.59        4.12
      103.50       17.07       29.06        3.72       29.83      280.24        4.08
      108.50       16.97       29.27        3.87       29.77      298.98        4.09
      113.50       16.96       29.51        3.27       29.77      272.96        4.12
      118.50       16.98       29.48        2.80       29.85      282.52        4.12
      123.50       17.00       29.90        3.87       29.97      295.82        4.21
      128.50       16.95       29.95        3.63       29.90      308.67        4.20
      133.50       16.80       30.10        3.30       29.90      280.26        4.19
      138.50       16.73       30.26        2.60       29.80      299.87        4.18
      143.50       16.72       30.12        2.15       29.86      309.49        4.16
      148.50       16.69       29.77        1.67       29.82      292.17        4.09
      153.50       16.57       29.90        2.17       29.80      268.69        4.09
      158.50       16.59       30.04        1.74       29.89      261.41        4.12
      163.50       16.58       30.08        1.45       29.93      329.00        4.13
      168.50       16.70       29.96        2.80       30.08      344.57        4.14
      173.50       16.65       29.87        4.01       30.10      341.00        4.12
      178.50       16.48       29.60        3.10       29.98      353.84        4.04
      183.50       16.49       29.04        2.82       30.04        1.34        3.95
      188.50       16.40       28.97        2.34       29.97      332.90        3.91
      193.50       16.22       29.76        4.27       29.82      324.25        3.98
      198.50       16.16       30.05        4.50       29.85      313.91        4.01
      203.50       16.10       30.20        3.24       29.82      277.18        4.02
      208.50       16.03       30.74        3.30       29.77      248.60        4.08
      213.50       15.97       30.70        3.65       29.77      258.31        4.06
      218.50       15.95       30.45        3.42       29.84      275.37        4.03
      223.50       15.90       30.63        3.98       29.83      246.33        4.04
      228.50       15.84       30.61        3.72       29.82      268.69        4.02
      233.50       15.85       30.21        2.98       29.87      317.16        3.96
      238.50       15.80       30.10        3.31       29.87      328.55        3.93
      243.50       15.76       30.46        3.31       29.86      293.00        3.98
      248.50       15.70       30.63        3.23       29.87      270.07        3.99
      253.50       15.70       30.77        3.27       29.89      259.38        4.01
      258.50       15.58       30.87        3.41       29.83      254.14        4.00
      263.50       15.54       30.95        3.40       29.84      254.90        4.00
      268.50       15.50       30.95        3.48       29.84      256.00        3.99
      273.50       15.42       30.94        3.47       29.84      260.08        3.97
      278.50       15.40       30.98        3.47       29.88      254.91        3.97
      283.50       15.37       30.84        3.31       29.83      295.87        3.94
      288.50       15.32       30.95        3.92       29.83      332.40        3.94
      293.50       15.30       31.15        5.50       29.90      327.50        3.98
      298.50       15.30       31.22        5.43       29.95      337.50        3.98
      303.50       15.30       31.20        5.32       29.98      335.67        3.98
      308.50       15.17       31.07        4.77       29.90      342.67        3.93
      313.50       15.09       30.80        3.50       29.87      339.84        3.87
      318.50       15.08       30.57        2.85       29.92      336.95        3.84
      323.50       15.03       30.72        3.10       29.91      330.98        3.84
      328.50       14.95       30.94        2.84       29.89      325.21        3.86
      333.50       14.92       31.07        2.79       29.91      293.41        3.87
      338.50       14.84       31.37        2.67       29.87      289.76        3.89
      343.50       14.82       31.55        3.14       29.89      288.87        3.91
      348.50       14.78       31.54        2.99       29.90      300.98        3.90
      353.50       14.72       31.48        2.82       29.90      310.89        3.87
      358.50       14.69       31.36        2.87       29.91      316.19        3.85
      363.50       14.61       31.35        2.87       29.89      317.08        3.83
      368.50       14.57       31.50        2.74       29.90      310.87        3.85
      373.50       14.57       31.39        2.73       29.93      315.90        3.83
      378.50       14.47       31.72        2.95       29.88      325.06        3.85
      383.50       14.38       32.00        3.11       29.84      321.05        3.87
      388.50       14.33       32.18        3.15       29.84      313.17        3.88
      393.50       14.31       32.26        3.29       29.85      308.31        3.88
      398.50       14.30       32.23        3.31       29.91      318.60        3.88
      403.50       14.24       32.38        3.39       29.92      324.19        3.89
      408.50       14.17       32.30        2.86       29.89      330.69        3.86
      413.50       14.17       32.35        3.77       29.93      348.65        3.86
